"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"22nF";;;
2;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
3;"J1";"PinHeader_1x02_P2.54mm_Horizontal";1;"Conn_01x02_Pin";;;
4;"J2";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Pin";;;
5;"LED";"LED_D3.0mm";1;"LED";;;
6;"NE555P";"DIP-8_W7.62mm";1;"NE555P";;;
7;"POT (100K)";"Potentiometer_Alps_RK163_Single_Horizontal";1;"100K";;;
8;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
9;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"56K";;;
10;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3M3";;;
